Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6mv0ybchJnpMv8HNHfBum9,Full Speed,Full Speed,Infraction,2023-05-12,210857,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,,Infraction,0.464,0.972,6,-5.921,1,0.0415,0.00156,0.696,0.433,0.766,140.016,4
spotify:track:09P3C84aQld7vQVkWBEqPr,Stairway - Original Mix,Fresh Flesh,Black Tiger Sex Machine,2015-10-08,260097,29,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,EDM",Kannibalen Records,0.726,0.803,7,-5.027,1,0.0426,0.177,0.0444,0.0984,0.414,127.977,4
spotify:track:6I7FFkcXS58luQoYLzPHi3,Mercenary,Mercenary,F.O.O.L;Power Glove,2020-10-19,219818,48,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"신스웨이브,베이퍼웨이브",Monstercat,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4
spotify:track:656RWPnsL8ivjm0K7tGmlI,HUMANS - VIP REMIX,VIP Remixes,GEN.KLOUD,2020-09-14,206775,31,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,,Lowly,0.413,0.962,6,-2.91,0,0.0487,0.00837,0.249,0.215,0.0313,128.004,4
spotify:track:3QIovv6ZrMWJvk6yAo71xX,Jungle Fury,Dogma Resistance,RIOT,2019-11-07,309517,37,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,데스스텝,리딤",Monstercat,0.5,0.968,1,-0.471,1,0.0702,0.00218,0.812,0.676,0.176,145.017,4
spotify:track:7H5GF7ufsRpIPtvupChNyf,Follow Me - Blanke Remix,Follow Me (Blanke Remix),ShockOne;Blanke,2020-12-31,265371,30,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"드럼 앤 베이스,리퀴드 펑크(Funk),드럼스텝,덥스텝,멜로딕 베이스,퓨처 베이스,EDM",UKF,0.518,0.964,1,-2.029,1,0.0877,0.000436,0.0195,0.637,0.559,175.035,4
spotify:track:4abDF4FVlKqgjWCuceVpzw,Mass Hysteria,Mass Hysteria,STRLGHT,2020-03-06,175693,35,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,퐁크,Epidemic Sound,0.783,0.728,8,-7.963,0,0.14,0.0142,0.0726,0.375,0.372,110.002,4
spotify:track:359dqboVug8CoRUE8WNVGf,Keep Up The Pace,Keep Up The Pace,Stonebank,2021-08-19,192504,38,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"해피 하드코어,덥스텝",Monstercat,0.61,0.928,10,-5.264,0,0.0657,0.00183,0.763,0.178,0.468,123.999,4
spotify:track:5hhck2nKkzhPVU5p2Axdf5,Tektronik,Dissolution EP,Ian Snow,2021-09-22,209454,23,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,멜로딕 베이스,FiXT,0.518,0.672,10,-5.369,0,0.113,0.0556,0.776,0.139,0.117,110,4
spotify:track:3tQ7xeC9imXHX5LUJ2QlWu,THE HIVE,THE HIVE,GEN.KLOUD,2019-07-29,200347,31,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,,Lowly,0.459,0.971,10,-5.86,0,0.0464,0.00176,0.405,0.103,0.467,115.047,4
spotify:track:74D0bP2HjjFzWLBvWuPBlR,Hydra,Hydra,Dino Shadix,2021-03-03,189714,15,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,베이스 음악",Subsidia,0.722,0.919,11,-3.354,0,0.152,0.0249,0.138,0.299,0.122,105.082,4
spotify:track:4RMFDkIBGhG0nBq0hMMYeD,Full Throttle,Night Fall,Lektrique;MIDNIGHT CVLT,2019-08-30,332540,27,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,베이스 하우스,일렉트로 하우스,데스스텝",Kannibalen Records,0.649,0.935,8,-4.473,0,0.0528,0.00274,0.676,0.11,0.22,125.995,4
spotify:track:3AawFHorBGEDdM9ngI8ofa,Braincase,Braincase,Kayzo;Subtronics,2019-12-04,192000,42,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,데스스텝,리딤,EDM,베이스 음악,덥",Welcome Records,0.813,0.8,11,-2.818,0,0.335,0.00654,0.424,0.194,0.366,145.03,4
spotify:track:3Oiauiojgokw9vWQvFmEoI,Eyes on Fire - Zeds Dead Remix,Eyes on Fire (Zeds Dead Remix) [Zed Dead Remix],Blue Foundation;Zeds Dead,2007,320000,58,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,EDM",WM Denmark,0.614,0.726,11,-6.441,1,0.096,0.00869,0.00131,0.157,0.315,144.965,4
spotify:track:1RcKEwbDLoLLkwCng0DzZq,Signal,Signal,Rezz;Grabbitz,2023-05-19,194823,42,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"EDM,덥스텝",HypnoVizion Records Inc.,0.505,0.626,5,-4.866,0,0.0255,0.0645,0.0036,0.106,0.129,169.962,4
spotify:track:74fmYjFwt9CqEFAh8ybeBD,Rumble,Quest For Fire,Skrillex;Fred again..;Flowdan,2023-02-17,146571,65,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,EDM,일렉트로,일렉트로닉,셔터 하우스,하우스,드럼 앤 베이스,그라임,영국 개러지",OWSLA/Atlantic,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,4
spotify:track:30MdAjBfVTvBCS3vID38At,Laserbeam,Laserbeam,Ray Volpe,2022-06-24,221600,49,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,멜로딕 베이스,베이스 음악,EDM",Disciple,0.573,0.978,1,-1.009,1,0.0883,0.000685,0.0621,0.169,0.0816,149.978,4
spotify:track:2CyR5Pbv5QYWfXpJmyhaVF,Dark Heart Surgery,The One,Ganja White Night,2019-10-22,287391,39,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,베이스 음악,EDM,덥",SubCarbon,0.846,0.743,5,-4.62,0,0.0313,0.00754,0.792,0.0964,0.406,89.996,4
spotify:track:47IcVmHkXjRPWyVI8FYcR0,Sound of Where'd U Go,Awake (Remixes),ILLENIUM;Said The Sky;1788-L;Kerli,2018-06-18,200000,39,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"멜로딕 베이스,퓨처 베이스,EDM,칠스텝,덥스텝",Seeking Blue,0.598,0.76,7,-3.548,1,0.285,0.00385,0.000146,0.102,0.25,180.025,4
spotify:track:7MediosGgQmnwMxAPGaIBm,SHADOW SELF,RENEGADES OF LIGHT,LSDREAM,2019-04-12,249544,45,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,베이스 음악,EDM",Wakaan,0.455,0.88,9,-5.923,1,0.111,0.0291,0.000846,0.146,0.346,172.081,4
spotify:track:3fqWMqLjDxzOdQpWKED0KD,Cold Day in Hell,Cold Day in Hell,NITTI;Dr. Fresch,2020-12-01,144000,37,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"베이스 하우스,G 하우스",Nitti Gritti Records,0.65,0.868,11,-4.785,0,0.0838,0.0827,0.222,0.125,0.445,200.143,4
spotify:track:47UiEqtMQRGQ4vlCh7Lm4V,Satan Works Alone - Original Mix,Boot Camp,LEVEL UP,2020-12-11,139034,38,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,EDM",Cyclops Recordings,0.705,0.801,11,-2.368,0,0.099,0.0664,0.187,0.095,0.153,145.006,4
spotify:track:5uItmsvH0iEN1UNd2FDhaM,Styx,Mutation,Midnight Tyrannosaurus,2019-05-03,111866,36,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"리딤,데스스텝,덥스텝,베이스 음악,덥",Gud Vibrations,0.89,0.737,2,-4.926,1,0.411,0.00937,0.788,0.123,0.0377,145.039,4
spotify:track:3tCJOzicyEdN3CzbLvKVxZ,Vibe Check,Rainbow Brain,GRiZ,2021-07-23,169600,0,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,EDM",GRiZ,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,4
spotify:track:7Fh5Q7Hg1H7CX1jVQY2Dgm,Bricks,Bricks,Dr. Fresch;House Call,2023-04-28,129642,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"G 하우스,베이스 하우스",House Call Records,0.759,0.961,8,-5.051,1,0.0984,0.127,0.0103,0.231,0.419,112.027,4
spotify:track:09HjLlsBh3iqLEkOgH4Ac4,ON FIRE,BRAVE,JOYRYDE,2020-04-03,203520,50,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"베이스 하우스,G 하우스",HARD Recs,0.78,0.908,1,-2.706,1,0.0822,0.00672,0.45,0.167,0.617,125.021,4
spotify:track:3iMgqf7gCjBhRdBrLm5WbM,Sleep,Unholy,One True God,2019-07-31,145555,43,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,,OTG,0.797,0.829,1,-3.771,1,0.0332,0.0333,0.651,0.0849,0.395,107.97,4
spotify:track:3NQinJIWliMnzomwtQzVNR,EDGE - Blanke Remix,EDGE (The Remixes),Rezz;Blanke,2024-06-21,165600,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"EDM,덥스텝,멜로딕 베이스,퓨처 베이스",mau5trap,0.641,0.979,2,-2.482,1,0.0587,0.00122,0.835,0.0973,0.226,100.018,4
spotify:track:5U0uFS6xvx7UCskac6yUF0,JUMP OUT,JUMP OUT,Excision;Juelz,2024-07-19,145714,43,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,EDM,덥,멜로딕 베이스,베이스 음악,edm 트랩,퓨처 베이스",Subsidia,0.516,0.979,11,-1.791,1,0.0682,0.0000607,0.0049,0.422,0.258,140.12,4
spotify:track:0iEHpYMOwwxmrj1d5VdwhU,Dizzy,Dizzy,VAMPA,2024-02-07,186947,34,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤",Vampa Music,0.777,0.625,7,-4.322,0,0.0499,0.000264,0.736,0.0829,0.401,95.02,4
spotify:track:5eo1iLxmJK3D4SXdDxY0Xr,Torture,Torture,NGHTMRE;Franky Nuts;DeathbyRomy,2024-05-23,232000,29,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,EDM,edm 트랩,퓨처 베이스,리딤,베이스 음악,데스스텝",Gud Vibrations,0.333,0.817,9,-4.042,1,0.111,0.00416,0.0000238,0.474,0.16,149.818,4
spotify:track:2TN7EMZLoLuP1Lthtw10lx,When We Touch,Morphosia,Kai Wachi,2024-03-08,140824,43,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,데스스텝,리딤,멜로딕 베이스,EDM,베이스 음악",Kannibalen Records,0.648,0.863,10,0.056,0,0.0453,0.0122,0.0157,0.142,0.384,99.945,4
spotify:track:1LVQWik5SWl7Sqd9achOuX,Deadweight,Deadweight,JAWNS;Party Favor,2024-04-19,187200,27,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,edm 트랩,Sable Valley Records,0.591,0.98,10,-4.022,0,0.0464,0.0013,0.92,0.313,0.0973,99.995,4
spotify:track:6QlR8SAaSGggSNwBv3SnUs,Gameplay,Gameplay,Spag Heddy,2024-05-31,235491,19,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,베이스 음악,드럼스텝,덥",Tomato Bass / Create Music Group,0.637,0.995,6,-1.972,0,0.453,0.026,0.715,0.118,0.229,149.568,4
spotify:track:5J4JSnjrqicsxHW9Epu7SW,Play the Game,Play the Game,Adventure Club;Bear Grillz;Craig Mabbitt,2024-07-12,192000,22,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"멜로딕 베이스,덥스텝,EDM,칠스텝,퓨처 베이스,리딤,데스스텝,덥,베이스 음악",Rude Service,0.546,0.956,2,-3.405,1,0.0542,0.00681,0.000228,0.152,0.443,140.059,4
spotify:track:4kxvbzdrOnxh5xadCD429G,i hate edm,i hate edm,Riot Ten,2024-04-05,107586,1,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,EDM","Thrive Music, LLC",0.768,0.856,8,-6.279,0,0.0551,0.00763,0.00167,0.207,0.466,145.046,4
spotify:track:5JJ0nZ7zlBbHIKMAhxH6Wb,HASH SLINGING SLASHER,SACRIFICE EP,GHENGAR;Ghastly,2024-05-01,134068,40,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"리딤,덥스텝,데스스텝,베이스 하우스,EDM",RATED M RECORDS,0.36,0.982,10,-2.644,0,0.363,0.00264,0.00128,0.888,0.404,138.213,4
spotify:track:10LJKB5IyEZX4uimdwOi6t,HERO,HERO,Adventure Club;Jessica Audiffred,2024-05-31,225600,41,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"멜로딕 베이스,덥스텝,EDM,칠스텝,퓨처 베이스,리딤,데스스텝",Bassrush Records,0.506,0.991,1,-1.188,0,0.0898,0.00017,0.288,0.377,0.0822,150.24,4
spotify:track:4nCW3tSl82LPbmrrwYpF4b,HAPPY SONG,HAPPY SONG,Ray Volpe,2023-05-26,227200,45,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,멜로딕 베이스,베이스 음악,EDM",Monstercat,0.57,0.96,6,-1.986,0,0.0656,0.00139,0.829,0.137,0.148,150.063,4
spotify:track:6oNpov9zgzZhAdNxyj0m5p,NITE VZN,NITE VZN,Dirty Audio;TRXGGX,2024-05-31,148800,17,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"멜버른 바운스,덥스텝,edm 트랩,베이스 음악",Dirty Audio,0.48,0.997,8,-0.708,1,0.0691,0.00385,0.865,0.272,0.31,149.973,4
spotify:track:0HC2VZhRBHFvpYe0T7IHxI,Teeth (feat. Bejalvin),Harbinger,SVDDEN DEATH;Bejalvin,2024-01-19,133587,33,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"리딤,덥스텝,데스스텝,베이스 음악,EDM,덥",VOYD Music,0.458,0.981,1,1.221,0,0.496,0.245,0.018,0.267,0.0982,139.92,4
spotify:track:2z0lSL8A8BOvQweRqcoXaJ,Quantum Queso,TESSERACT,Subtronics,2024-02-16,176571,44,TRUE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"리딤,덥스텝,EDM,데스스텝,베이스 음악,덥",Cyclops Recordings,0.761,0.878,5,-2.214,0,0.203,0.057,0.193,0.235,0.112,139.94,4
spotify:track:46ghb0YdtspAFUtmxtNgNo,FEEL IT,FEEL IT,ALLEYCVT,2024-09-05,184489,50,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,EDM,리딤",SUPERSONIC RECORDS,0.534,0.897,5,-4.199,0,0.038,0.00031,0.0884,0.11,0.223,144.979,4
spotify:track:78gdoEw0f0uIaOsS2F51lP,NIGHTHAWK,LSZEE,CloZee;LSDREAM,2024-09-27,186857,30,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,베이스 음악,EDM",Odyzey Music & Heartwave,0.742,0.785,10,-6.616,0,0.0388,0.0164,0.923,0.186,0.0716,140.03,4
